race_month,userid,address,gender,age,internet_/_shop,bet_type_category,handle,revenue,betcount
2018-01-01,199,NY,Male,18,Mobile,WPS,200.0,20.0,5.0
2018-01-01,199,NY,Male,18,Desktop,WPS,25.0,2.5,1.0
2018-02-01,199,NY,Male,18,Mobile,WPS,42.0,4.2,1.0
2018-01-01,531,NY,Female,18,Mobile,WPS,205.0,20.5,1.0
2018-01-01,887,NY,Male,18,Mobile,WPS,205.0,20.5,2.0
2018-01-01,1744,NY,Male,18,Mobile,WPS,141.0,14.100000000000001,2.0
2018-01-01,3245,NY,Male,18,Mobile,Exotic,5.0,0.6,1.0
2018-01-01,3346,NY,Male,18,Mobile,Exotic,5.0,0.6,1.0
2018-01-01,3346,NY,Male,18,Mobile,WPS,200.0,20.0,2.0
2018-01-01,4015,NY,Male,18,Mobile,WPS,1274.0,127.4,49.0
2018-02-01,4015,NY,Male,18,Mobile,Exotic,63.99999999999999,7.679999999999999,4.0
2018-02-01,4015,NY,Male,18,Mobile,WPS,365.0,36.5,43.0
2018-03-01,4015,NY,Male,18,Mobile,Exotic,65.00000000000003,7.800000000000003,4.999999999999999
2018-03-01,4015,NY,Male,18,Mobile,WPS,9.0,0.9,1.0
2018-04-01,4015,NY,Male,18,Mobile,Exotic,30.0,3.5999999999999996,1.0
2018-04-01,4015,NY,Male,18,Mobile,WPS,30.0,3.0,1.0
2018-01-01,4624,NY,Male,18,Mobile,Exotic,2.0,0.24,1.0
2018-01-01,4624,NY,Male,18,Mobile,WPS,20.0,2.0,10.0
2018-02-01,4918,NY,Male,18,Mobile,WPS,1050.0,105.0,5.0
2018-04-01,4918,NY,Male,18,Mobile,Exotic,5.0,0.6,1.9999999999999998
2018-01-01,6305,NY,Male,18,Mobile,Exotic,5.0,0.6,0.9999999999999998
2018-04-01,6305,NY,Male,18,Mobile,Exotic,4.999999999999999,0.5999999999999999,2.0
2018-01-01,6641,NY,Male,18,Mobile,WPS,5.0,0.5,1.0
2018-01-01,8315,NY,Male,18,Mobile,WPS,205.0,20.5,2.0
2018-01-01,9002,NY,Male,18,Mobile,Exotic,5.0,0.6,1.0
2018-01-01,9002,NY,Male,18,Mobile,WPS,1486.0,148.6,7.0
2018-04-01,9002,NY,Male,18,Mobile,WPS,800.0,80.0,8.0
2018-01-01,9716,NY,Male,18,Mobile,WPS,12536.0,1253.6000000000001,6.0
2018-01-01,10209,NY,Male,18,Mobile,Exotic,10.0,1.2,0.9999999999999999
2018-01-01,10209,NY,Male,18,Mobile,WPS,210.0,21.0,4.0
2018-05-01,10209,NY,Male,18,Desktop,Exotic,5.0,0.6,1.0
2018-01-01,11399,NY,Female,18,Mobile,WPS,4.0,0.4,2.0
2018-01-01,11975,NY,Female,18,Mobile,Exotic,2.0,0.24,1.0
2018-01-01,11975,NY,Female,18,Mobile,WPS,5.0,0.5,1.0
2018-02-01,11975,NY,Female,18,Mobile,WPS,10.0,1.0,2.0
2018-04-01,11975,NY,Female,18,Mobile,Exotic,20.0,2.4,1.0
2018-01-01,12125,NY,Male,18,Mobile,Exotic,80.0,9.6,16.0
2018-01-01,12125,NY,Male,18,Mobile,WPS,960.0,96.0,103.0
2018-02-01,12125,NY,Male,18,Mobile,Exotic,100.00000000000003,12.000000000000004,14.999999999999991
2018-02-01,12125,NY,Male,18,Mobile,WPS,941.0,94.10000000000001,107.0
2018-03-01,12125,NY,Male,18,Mobile,Exotic,432.99999999999983,51.95999999999998,45.999999999999986
2018-03-01,12125,NY,Male,18,Mobile,WPS,1420.0,142.0,115.0
2018-04-01,12125,NY,Male,18,Mobile,Exotic,276.0,33.12,38.99999999999999
2018-04-01,12125,NY,Male,18,Mobile,WPS,1274.0,127.4,72.0
2018-05-01,12125,NY,Male,18,Mobile,Exotic,192.0,23.04,14.0
2018-05-01,12125,NY,Male,18,Mobile,WPS,256.0,25.6,14.0
2018-05-01,12125,NY,Male,18,Desktop,Exotic,12.0,1.44,2.0
2018-01-01,12296,NY,Male,18,Mobile,Exotic,405.0,48.6,2.0
2018-01-01,12296,NY,Male,18,Mobile,WPS,117.0,11.700000000000001,1.0
2018-01-01,12335,NY,Female,18,Mobile,WPS,105.0,10.5,12.0
2018-02-01,12335,NY,Female,18,Mobile,Exotic,19.0,2.28,1.9999999999999998
2018-02-01,12335,NY,Female,18,Mobile,WPS,688.0,68.8,136.0
2018-03-01,12335,NY,Female,18,Mobile,Exotic,7.0,0.84,1.0
2018-03-01,12335,NY,Female,18,Mobile,WPS,67.0,6.7,20.0
2018-04-01,12335,NY,Female,18,Mobile,WPS,40.0,4.0,11.0
2018-05-01,12335,NY,Female,18,Mobile,WPS,14.0,1.4000000000000001,4.0
2018-01-01,100,NY,Male,19,Mobile,Exotic,15.0,1.7999999999999998,2.0
2018-01-01,100,NY,Male,19,Mobile,WPS,240.0,24.0,8.0
2018-01-01,616,NY,Male,19,Mobile,WPS,2.0,0.2,1.0
2018-02-01,616,NY,Male,19,Mobile,WPS,3.0,0.30000000000000004,1.0
2018-01-01,847,NY,Male,19,Mobile,Exotic,14.0,1.68,5.0
2018-01-01,847,NY,Male,19,Mobile,WPS,11.0,1.1,4.0
2018-01-01,847,NY,Male,19,Desktop,WPS,7.0,0.7000000000000001,2.0
2018-01-01,862,NY,Male,19,Mobile,Exotic,3.0,0.36,1.0
2018-01-01,862,NY,Male,19,Mobile,WPS,40.0,4.0,15.0
2018-01-01,1251,NY,Male,19,Mobile,Exotic,6.0,0.72,0.9999999999999999
2018-01-01,1251,NY,Male,19,Mobile,WPS,205.0,20.5,1.0
2018-01-01,3952,NY,Male,19,Mobile,WPS,5.0,0.5,1.0
2018-01-01,4201,NY,Male,19,Mobile,WPS,206.0,20.6,5.0
2018-01-01,4278,NY,Male,19,Mobile,Exotic,5.0,0.6,2.0
2018-05-01,4278,NY,Male,19,Mobile,Exotic,5.0,0.6,2.0
2018-01-01,4992,NY,Male,19,Mobile,WPS,200.0,20.0,2.0
2018-04-01,4992,NY,Male,19,Mobile,WPS,2500.0,250.0,3.0
2018-02-01,6303,NY,Male,19,Mobile,WPS,5.0,0.5,1.0
2018-01-01,7087,NY,Male,19,Mobile,WPS,205.0,20.5,3.0
2018-01-01,7989,NY,Female,19,Mobile,Exotic,2.0,0.24,1.0
2018-01-01,7989,NY,Female,19,Mobile,WPS,205.0,20.5,3.0
2018-02-01,7989,NY,Female,19,Mobile,Exotic,2.0,0.24,1.0
2018-02-01,7989,NY,Female,19,Mobile,WPS,3.0,0.30000000000000004,1.0
2018-01-01,8160,NY,Male,19,Mobile,WPS,5.0,0.5,1.0
2018-01-01,8208,NY,Male,19,Mobile,Exotic,2.0,0.24,1.0
2018-01-01,8208,NY,Male,19,Mobile,WPS,3.0,0.30000000000000004,1.0
2018-01-01,9281,NY,Male,19,Mobile,WPS,205.0,20.5,2.0
2018-01-01,578,NY,Male,20,Mobile,Exotic,144.0,17.28,14.0
2018-01-01,578,NY,Male,20,Mobile,WPS,415.0,41.5,6.0
2018-02-01,578,NY,Male,20,Mobile,WPS,297.0,29.700000000000003,5.0
2018-01-01,1197,NY,Female,20,Mobile,Exotic,40.0,4.8,1.9999999999999996
2018-02-01,1197,NY,Female,20,Mobile,Exotic,20.999999999999996,2.5199999999999996,6.000000000000002
2018-02-01,1197,NY,Female,20,Mobile,WPS,220.0,22.0,5.0
2018-02-01,1197,NY,Female,20,Desktop,Exotic,3.0,0.36,1.0
2018-02-01,1197,NY,Female,20,Desktop,WPS,140.0,14.0,12.0
2018-04-01,1197,NY,Female,20,Mobile,Exotic,10.0,1.2,3.9999999999999996
2018-04-01,1197,NY,Female,20,Desktop,Exotic,4.0,0.48,2.0
2018-01-01,2144,NY,Male,20,Mobile,WPS,205.0,20.5,2.0
2018-05-01,2144,NY,Male,20,Mobile,WPS,100.0,10.0,1.0
2018-01-01,3325,NY,Male,20,Mobile,Exotic,46.0,5.52,2.0
2018-01-01,3325,NY,Male,20,Mobile,WPS,363.0,36.300000000000004,53.0
2018-02-01,3325,NY,Male,20,Mobile,Exotic,121.0,14.52,4.0
2018-02-01,3325,NY,Male,20,Mobile,WPS,704.0,70.4,32.0
2018-02-01,3325,NY,Male,20,Desktop,WPS,20.0,2.0,1.0
2018-03-01,3325,NY,Male,20,Mobile,Exotic,33.0,3.96,5.999999999999999
2018-03-01,3325,NY,Male,20,Mobile,WPS,362.0,36.2,40.0
2018-03-01,3325,NY,Male,20,Desktop,WPS,20.0,2.0,1.0
2018-04-01,3325,NY,Male,20,Mobile,Exotic,301.0,36.12,37.0
2018-04-01,3325,NY,Male,20,Mobile,WPS,2116.0,211.60000000000002,201.0
2018-04-01,3325,NY,Male,20,Desktop,Exotic,3.0,0.36,1.0
2018-04-01,3325,NY,Male,20,Desktop,WPS,107.0,10.700000000000001,3.0
2018-05-01,3325,NY,Male,20,Mobile,Exotic,78.0,9.36,13.0
2018-05-01,3325,NY,Male,20,Mobile,WPS,783.0,78.30000000000001,56.0
2018-05-01,3325,NY,Male,20,Desktop,Exotic,19.0,2.28,2.9999999999999996
2018-05-01,3325,NY,Male,20,Desktop,WPS,116.0,11.600000000000001,8.0
2018-01-01,5368,NY,Female,20,Mobile,WPS,205.0,20.5,1.0
2018-01-01,5865,NY,Male,20,Mobile,Exotic,8.0,0.96,3.0
2018-01-01,5958,NY,Male,20,Mobile,Exotic,5.0,0.6,2.0
2018-01-01,6286,NY,Male,20,Mobile,Exotic,2.0,0.24,1.0
2018-01-01,6286,NY,Male,20,Mobile,WPS,3.0,0.30000000000000004,1.0
2018-01-01,7148,NY,Male,20,Mobile,WPS,5.0,0.5,1.0
2018-01-01,7821,NY,Male,20,Mobile,WPS,165.0,16.5,72.0
2018-02-01,7821,NY,Male,20,Mobile,WPS,72.0,7.2,36.0
2018-04-01,7821,NY,Male,20,Mobile,WPS,85.0,8.5,25.0
2018-05-01,7821,NY,Male,20,Mobile,WPS,10.0,1.0,5.0
2018-01-01,8550,NY,Female,20,Mobile,WPS,205.0,20.5,1.0
2018-01-01,9108,NY,Male,20,Mobile,WPS,5.0,0.5,1.0
2018-01-01,9574,NY,Male,20,Mobile,Exotic,163.0,19.56,12.0
2018-01-01,9574,NY,Male,20,Mobile,WPS,320.0,32.0,10.0
2018-04-01,9574,NY,Male,20,Mobile,Exotic,59.999999999999986,7.199999999999998,8.999999999999998
2018-01-01,10770,NY,Female,20,Mobile,Exotic,145.99999999999997,17.519999999999996,45.0
2018-01-01,10770,NY,Female,20,Mobile,WPS,103.0,10.3,33.0
2018-05-01,10770,NY,Female,20,Mobile,Exotic,17.0,2.04,6.999999999999999
2018-05-01,10770,NY,Female,20,Mobile,WPS,3.0,0.30000000000000004,1.0
2018-05-01,10770,NY,Female,20,Desktop,Exotic,2.0,0.24,1.0
2018-01-01,10904,NY,Male,20,Mobile,WPS,5.0,0.5,1.0
2018-01-01,13050,NY,Male,20,Mobile,WPS,205.0,20.5,1.0
2018-02-01,1340,NY,Male,21,Mobile,Exotic,2.0,0.24,1.0
2018-02-01,1340,NY,Male,21,Mobile,WPS,2.0,0.2,1.0
2018-01-01,1788,NY,Female,21,Mobile,Exotic,3.0,0.36,1.0
2018-01-01,1788,NY,Female,21,Mobile,WPS,211.0,21.1,2.0
2018-01-01,1875,NY,Male,21,Mobile,WPS,13.0,1.3,2.0
2018-01-01,2665,NY,Male,21,Mobile,Exotic,5.0,0.6,2.0
2018-01-01,2805,NY,Male,21,Mobile,WPS,200.0,20.0,2.0
2018-01-01,4029,NY,Female,21,Mobile,WPS,121.0,12.100000000000001,12.0
2018-02-01,4029,NY,Female,21,Mobile,Exotic,2.0,0.24,1.0
2018-02-01,4029,NY,Female,21,Mobile,WPS,62.0,6.2,9.0
2018-01-01,4059,NY,Male,21,Mobile,Exotic,6.0,0.72,2.0
2018-02-01,4059,NY,Male,21,Mobile,Exotic,3.0,0.36,1.0
2018-03-01,4059,NY,Male,21,Mobile,Exotic,8.999999999999998,1.0799999999999998,3.0
2018-04-01,4059,NY,Male,21,Mobile,Exotic,19.0,2.28,6.999999999999998
2018-05-01,4059,NY,Male,21,Mobile,Exotic,8.0,0.96,2.0
2018-01-01,4241,NY,Male,21,Mobile,WPS,105.0,10.5,1.0
2018-02-01,4241,NY,Male,21,Mobile,WPS,100.0,10.0,2.0
2018-01-01,4494,NY,Male,21,Mobile,Exotic,8.0,0.96,3.0
2018-01-01,4494,NY,Male,21,Mobile,WPS,3.0,0.30000000000000004,1.0
2018-01-01,5628,NY,Male,21,Mobile,Exotic,17.0,2.04,1.0
2018-01-01,5628,NY,Male,21,Mobile,WPS,214.0,21.400000000000002,2.0
2018-03-01,5628,NY,Male,21,Mobile,Exotic,15.0,1.7999999999999998,3.9999999999999996
2018-03-01,5628,NY,Male,21,Mobile,WPS,5.0,0.5,1.0
2018-04-01,5628,NY,Male,21,Mobile,Exotic,14.999999999999993,1.7999999999999992,5.9999999999999964
2018-04-01,5628,NY,Male,21,Mobile,WPS,160.0,16.0,8.0
2018-04-01,5628,NY,Male,21,Desktop,WPS,10.0,1.0,1.0
2018-01-01,7980,NY,Male,21,Mobile,Exotic,5.0,0.6,1.0
2018-01-01,7980,NY,Male,21,Mobile,WPS,12.0,1.2000000000000002,1.0
2018-01-01,9107,NY,Male,21,Mobile,Exotic,100.0,12.0,1.0
2018-01-01,9107,NY,Male,21,Mobile,WPS,100.0,10.0,1.0
2018-01-01,9177,NY,Male,21,Mobile,WPS,13.0,1.3,5.0
2018-01-01,9902,NY,Male,21,Mobile,WPS,205.0,20.5,2.0
2018-01-01,10074,NY,Male,21,Mobile,Exotic,5.0,0.6,1.0
2018-01-01,10074,NY,Male,21,Mobile,WPS,200.0,20.0,1.0
2018-01-01,10967,NY,Male,21,Mobile,WPS,205.0,20.5,2.0
2018-01-01,1961,NY,Male,22,Mobile,WPS,205.0,20.5,3.0
2018-01-01,3067,NY,Male,22,Mobile,Exotic,85.0,10.2,2.0
2018-04-01,3067,NY,Male,22,Mobile,Exotic,5.0,0.6,1.0
2018-05-01,3067,NY,Male,22,Desktop,Exotic,9.999999999999998,1.1999999999999997,1.9999999999999996
2018-01-01,3612,NY,Male,22,Mobile,Exotic,9.0,1.08,3.0
2018-01-01,3612,NY,Male,22,Mobile,WPS,175.0,17.5,31.0
2018-02-01,3612,NY,Male,22,Mobile,WPS,50.0,5.0,1.0
2018-03-01,3612,NY,Male,22,Mobile,Exotic,5.0,0.6,1.0
2018-03-01,3612,NY,Male,22,Mobile,WPS,5.0,0.5,1.0
2018-04-01,3612,NY,Male,22,Mobile,Exotic,70.0,8.4,17.99999999999999
2018-04-01,3612,NY,Male,22,Mobile,WPS,30.0,3.0,3.0
2018-05-01,3612,NY,Male,22,Mobile,Exotic,13.0,1.56,4.0
2018-05-01,3612,NY,Male,22,Mobile,WPS,179.0,17.900000000000002,7.0
2018-01-01,3744,NY,Male,22,Mobile,Exotic,5.0,0.6,2.0
2018-01-01,4875,NY,Male,22,Mobile,Exotic,162.0,19.439999999999998,29.999999999999993
2018-01-01,4875,NY,Male,22,Mobile,WPS,6.0,0.6000000000000001,2.0
2018-02-01,4875,NY,Male,22,Mobile,Exotic,88.00000000000003,10.560000000000002,22.0
2018-04-01,4875,NY,Male,22,Mobile,Exotic,15.0,1.7999999999999998,3.0
2018-05-01,4875,NY,Male,22,Mobile,WPS,10.0,1.0,1.0
2018-01-01,5014,NY,Male,22,Mobile,WPS,205.0,20.5,1.0
2018-01-01,5125,NY,Male,22,Mobile,Exotic,10.0,1.2,1.0
2018-01-01,5125,NY,Male,22,Mobile,WPS,15.0,1.5,3.0
2018-01-01,5125,NY,Male,22,Desktop,Exotic,199.0,23.88,20.0
2018-01-01,5125,NY,Male,22,Desktop,WPS,138.0,13.8,16.0
2018-02-01,5125,NY,Male,22,Desktop,Exotic,79.0,9.48,7.0
2018-02-01,5125,NY,Male,22,Desktop,WPS,40.0,4.0,4.0
2018-03-01,5125,NY,Male,22,Desktop,Exotic,262.99999999999994,31.55999999999999,15.999999999999996
2018-03-01,5125,NY,Male,22,Desktop,WPS,352.0,35.2,18.0
2018-04-01,5125,NY,Male,22,Desktop,Exotic,50.0,6.0,3.0
2018-04-01,5125,NY,Male,22,Desktop,WPS,28.0,2.8000000000000003,2.0
2018-01-01,5805,NY,Male,22,Mobile,Exotic,3.0,0.36,1.0
2018-01-01,5805,NY,Male,22,Mobile,WPS,217.0,21.700000000000003,52.0
2018-02-01,5805,NY,Male,22,Mobile,WPS,4.0,0.4,1.0
2018-01-01,6521,NY,Male,22,Mobile,Exotic,100.0,12.0,1.0
2018-01-01,6521,NY,Male,22,Mobile,WPS,100.0,10.0,1.0
2018-01-01,7273,NY,Male,22,Mobile,Exotic,9.999999999999998,1.1999999999999997,1.9999999999999993
2018-01-01,7583,NY,Female,22,Mobile,WPS,200.0,20.0,3.0
2018-01-01,7849,NY,Male,22,Mobile,Exotic,5.0,0.6,1.0
2018-01-01,8201,NY,Male,22,Mobile,WPS,312.0,31.200000000000003,32.0
2018-02-01,8201,NY,Male,22,Mobile,WPS,13.0,1.3,4.0
2018-02-01,8959,NY,Male,22,Mobile,WPS,5.0,0.5,1.0
2018-01-01,9038,NY,Male,22,Mobile,Exotic,12.0,1.44,5.0
2018-01-01,9038,NY,Male,22,Mobile,WPS,51.0,5.1000000000000005,17.0
2018-01-01,9038,NY,Male,22,Desktop,WPS,25.0,2.5,1.0
2018-02-01,9038,NY,Male,22,Mobile,WPS,37.0,3.7,2.0
2018-02-01,9038,NY,Male,22,Desktop,WPS,5.0,0.5,1.0
2018-01-01,9065,NY,Male,22,Mobile,Exotic,5.0,0.6,0.9999999999999998
2018-01-01,10749,NY,Male,22,Mobile,Exotic,10.0,1.2,2.0
2018-01-01,10749,NY,Male,22,Mobile,WPS,55.0,5.5,20.0
2018-02-01,10749,NY,Male,22,Mobile,WPS,2.0,0.2,1.0
2018-01-01,10900,NY,Male,22,Mobile,Exotic,205.0,24.599999999999998,1.0
2018-01-01,12482,NY,Female,22,Mobile,Exotic,5.0,0.6,1.0
2018-01-01,12661,NY,Male,22,Mobile,WPS,5.0,0.5,1.0
2018-01-01,82,NY,Male,23,Mobile,Exotic,5.0,0.6,1.9999999999999998
2018-01-01,232,NY,Male,23,Mobile,WPS,245.0,24.5,6.0
2018-01-01,988,NY,Female,23,Mobile,WPS,100.0,10.0,1.0
2018-02-01,988,NY,Female,23,Mobile,WPS,100.0,10.0,2.0
2018-01-01,2623,NY,Male,23,Mobile,WPS,205.0,20.5,1.0
2018-01-01,3094,NY,Male,23,Mobile,Exotic,5.0,0.6,1.0
2018-01-01,3447,NY,Male,23,Mobile,WPS,379.0,37.9,10.0
2018-01-01,3447,NY,Male,23,Desktop,WPS,114.0,11.4,7.0
2018-02-01,3447,NY,Male,23,Mobile,WPS,199.0,19.900000000000002,4.0
2018-02-01,3447,NY,Male,23,Desktop,WPS,27.0,2.7,3.0
2018-04-01,3447,NY,Male,23,Mobile,Exotic,102.0,12.24,1.0
2018-04-01,3447,NY,Male,23,Mobile,WPS,389.0,38.900000000000006,6.0
2018-04-01,3447,NY,Male,23,Desktop,WPS,157.0,15.700000000000001,5.0
2018-01-01,5078,NY,Male,23,Mobile,Exotic,5.0,0.6,1.0
2018-01-01,5078,NY,Male,23,Mobile,WPS,31.0,3.1,6.0
2018-02-01,5078,NY,Male,23,Mobile,WPS,35.0,3.5,2.0
2018-01-01,6456,NY,Male,23,Mobile,Exotic,43.0,5.16,5.999999999999999
2018-01-01,6456,NY,Male,23,Mobile,WPS,224.0,22.400000000000002,6.0
2018-01-01,6774,NY,Male,23,Mobile,Exotic,24.0,2.88,4.0
2018-02-01,6774,NY,Male,23,Mobile,WPS,18.0,1.8,2.0
2018-01-01,7001,NY,Male,23,Mobile,Exotic,23.0,2.76,4.0
2018-01-01,7001,NY,Male,23,Mobile,WPS,606.0,60.6,4.0
2018-01-01,7375,NY,Male,23,Mobile,Exotic,5.0,0.6,0.9999999999999999
2018-01-01,9102,NY,Male,23,Mobile,Exotic,200.0,24.0,2.0
2018-01-01,9102,NY,Male,23,Mobile,WPS,100.0,10.0,2.0
2018-04-01,9102,NY,Male,23,Mobile,Exotic,170.0,20.4,9.0
2018-04-01,9102,NY,Male,23,Desktop,Exotic,210.0,25.2,1.9999999999999998
2018-05-01,9102,NY,Male,23,Mobile,Exotic,13.0,1.56,3.0
2018-01-01,9763,NY,Male,23,Mobile,WPS,205.0,20.5,1.0
2018-01-01,10036,NY,Male,23,Mobile,WPS,206.0,20.6,6.0
2018-03-01,10036,NY,Male,23,Mobile,WPS,40.0,4.0,2.0
2018-04-01,10036,NY,Male,23,Mobile,Exotic,13.999999999999998,1.6799999999999997,2.999999999999999
2018-04-01,10036,NY,Male,23,Desktop,WPS,40.0,4.0,2.0
2018-05-01,10036,NY,Male,23,Mobile,WPS,17.0,1.7000000000000002,1.0
2018-01-01,11529,NY,Male,23,Mobile,Exotic,5.0,0.6,1.0
2018-01-01,11529,NY,Male,23,Mobile,WPS,320.0,32.0,23.0
2018-02-01,11529,NY,Male,23,Mobile,WPS,20.0,2.0,1.0
2018-04-01,11529,NY,Male,23,Mobile,Exotic,31.74999999999999,3.8099999999999987,5.999999999999999
2018-04-01,11529,NY,Male,23,Mobile,WPS,5.0,0.5,1.0
2018-04-01,11529,NY,Male,23,Desktop,WPS,8.0,0.8,2.0
2018-02-01,11720,NY,Male,23,Mobile,WPS,35.0,3.5,1.0
2018-01-01,12101,NY,Male,23,Mobile,WPS,205.0,20.5,1.0
2018-01-01,197,NY,Male,24,Mobile,WPS,205.0,20.5,1.0
2018-01-01,779,NY,Male,24,Mobile,Exotic,5.0,0.6,1.0
